Date,Air_Temp,Humidity,Wind_Speed,Wind_Direction
2022-01-29,3.4,32.8,12.7,213.5
2022-01-30,5.3,39.6,14.7,245.3
2022-01-31,-8.4,64.5,27.7,14.6
2022-02-01,-19,73.5,12.3,19.4
2022-02-02,-21.7,72.5,16.6,204.9
2022-02-03,-13.8,71.1,18.1,62.2
2022-02-04,-3,56.8,20,252.1
2022-02-05,3.3,45.8,19.7,278.8
2022-02-06,7.2,32.5,26.5,278.5
2022-02-07,6.4,32.5,23.9,258.6
2022-02-08,6.3,31.2,27.3,281.4
2022-02-09,9.7,36.8,25.4,282
2022-02-10,8,39.1,20.8,345.3
2022-02-11,-1.1,48.2,19.9,0.6
2022-02-12,3.8,30.2,16.7,249.8
2022-02-13,4.1,44.9,15.8,47.7
2022-02-14,-2.2,79.1,10.3,71.3
2022-02-15,-3.3,80.8,14.7,38
2022-02-16,-7.4,81.5,10.9,204.3
2022-02-17,0.3,67.4,20.6,231.5
2022-02-18,-6.4,85.7,21.2,149.9
2022-02-19,3.9,62.7,17.9,307.6
2022-02-20,-16.3,78.6,16.7,49.8
2022-02-21,-21,74.2,13,11.1
2022-02-22,-22.3,69.1,7,81.2
2022-02-23,-17.5,61.7,10.8,228.1
2022-02-24,-7.2,80,15.1,334.4
2022-02-25,-4.6,47.9,8.5,289.7
2022-02-26,1.7,37,12.9,269.2
2022-02-27,5.5,40.9,20.8,266.6
2022-02-28,0.5,61.3,9.5,15.3
2022-03-01,-1.8,82.1,10.7,156.9
2022-03-02,-6.8,92.9,10.4,123.2
2022-03-03,-8.1,91.7,9,61
2022-03-04,-8.8,85.5,18,8.1
2022-03-05,-6.2,81.2,7.8,11.4
2022-03-06,-3.6,69.8,12.1,289.7
2022-03-07,-0.1,54.2,29.8,329.9
2022-03-08,-9.5,67.2,25.3,357.3
2022-03-09,-13,67,13.7,322.3
2022-03-10,-7.7,49.7,18.2,300
2022-03-11,-6.8,64.7,15,209.2
2022-03-12,4.8,40.1,19.5,257.8
2022-03-13,0.5,71.8,9.8,134.4
2022-03-14,4.2,62.7,14.2,203.6
2022-03-15,5.4,53.4,16.2,297.4
2022-03-16,5.1,33.8,18.9,294.2
2022-03-17,5.1,37.4,17.5,249.5
2022-03-18,4.4,43.2,13.4,301.4
2022-03-19,4.4,44.5,7,183.7
2022-03-20,2.2,54.2,26.3,321.5
2022-03-21,4.9,31.3,19.3,299.1
2022-03-22,8,37.5,13.1,219.7
2022-03-23,9.4,42.4,15.7,234.9
2022-03-24,1.6,50.3,16.7,331.2
2022-03-25,1.1,57,13.3,169.2
2022-03-26,0.1,61.9,8.2,86.2
2022-03-27,4.7,55.8,10.9,97
2022-03-28,-0.3,80.3,23.4,1.9
2022-03-29,2,61.8,8.7,226.2
2022-03-30,6.6,48.1,18.1,270.2
2022-03-31,3.6,48.4,20.7,340.7
2022-04-01,3.3,44,9.6,82.6
2022-04-02,3.2,57.1,11.2,328.3
2022-04-03,2.1,56.7,11.4,206.4
2022-04-04,6.3,37.9,27.3,240
2022-04-05,5.7,29.8,25.8,324.7
2022-04-06,3.9,30.9,11.4,21.6
2022-04-07,6.9,34.2,14.3,183
2022-04-08,12.1,29.2,20.4,245.4
2022-04-09,3.5,43.1,17.4,345.2
2022-04-10,-0.8,39.9,27,354.7
2022-04-11,-4.5,42.1,24.1,1.7
2022-04-12,-9.3,70.4,25.6,19.1
2022-04-13,-8.3,72.5,20,10.3
2022-04-14,-7.9,77.5,15.6,17.4
2022-04-15,-6.2,71.3,7.8,58.7
2022-04-16,-2.8,58.2,13,162.7
2022-04-17,-0.7,57.6,13,43.9
2022-04-18,2.7,46.2,21,180.9
2022-04-19,-0.3,83.8,18.5,0.9
2022-04-20,-1.4,74.6,20.1,45.1
2022-04-21,0.9,69.7,23.6,156.6
2022-04-22,0.8,88,11.3,13.7
2022-04-23,4.3,66.9,10.3,357.6
2022-04-24,7.6,47,8.6,136.1
2022-04-25,9.7,37.4,7.9,225.9
2022-04-26,9.5,50.4,13.3,258.3
2022-04-27,7.3,40.3,16.8,301.4
2022-04-28,5.7,31.5,8.1,7.2
2022-04-29,6.5,44.5,10.9,68
